read_id	my_status	my_rname	my_pos	my_mismatches	my_num_hits
ILLUMINA-075005_0053_FC:3:1:1340:1071#0	unique	X	16286877	1	1
ILLUMINA-075005_0053_FC:3:1:2272:1072#0	unique	3L	21986971	0	1
ILLUMINA-075005_0053_FC:3:1:2505:1076#0	unique	3L	13024682	0	1
ILLUMINA-075005_0053_FC:3:1:2894:1076#0	unique	X	10461103	0	1
ILLUMINA-075005_0053_FC:3:1:3124:1073#0	unique	2R	22717569	0	1
ILLUMINA-075005_0053_FC:3:1:3679:1079#0	unique	X	6258300	0	1
ILLUMINA-075005_0053_FC:3:1:4021:1080#0	unique	2L	13921637	0	1
ILLUMINA-075005_0053_FC:3:1:5009:1080#0	unique	3L	9049267	0	1
ILLUMINA-075005_0053_FC:3:1:5050:1082#0	unique	2R	7791956	0	1
ILLUMINA-075005_0053_FC:3:1:5106:1078#0	unique	2L	9700181	1	1
ILLUMINA-075005_0053_FC:3:1:5205:1071#0	unique	2R	13872837	0	1
ILLUMINA-075005_0053_FC:3:1:5567:1078#0	unique	2L	13933381	1	1
ILLUMINA-075005_0053_FC:3:1:5636:1080#0	unique	2R	16570202	0	1
ILLUMINA-075005_0053_FC:3:1:6330:1071#0	unique	X	266210	0	1
ILLUMINA-075005_0053_FC:3:1:6432:1079#0	unique	X	2172842	0	1
ILLUMINA-075005_0053_FC:3:1:6487:1081#0	unique	2R	20565390	0	1
ILLUMINA-075005_0053_FC:3:1:6505:1072#0	unique	X	6532102	0	1
ILLUMINA-075005_0053_FC:3:1:7344:1075#0	unique	2R	18820719	0	1
ILLUMINA-075005_0053_FC:3:1:7500:1079#0	multi				6
ILLUMINA-075005_0053_FC:3:1:7528:1082#0	unique	2L	10241659	0	1
ILLUMINA-075005_0053_FC:3:1:7631:1076#0	unique	3L	8602273	0	1
ILLUMINA-075005_0053_FC:3:1:8505:1073#0	unique	2R	21070559	0	1
ILLUMINA-075005_0053_FC:3:1:8967:1079#0	unique	3R	18687633	2	1
ILLUMINA-075005_0053_FC:3:1:9018:1071#0	unique	2R	24009674	0	1
ILLUMINA-075005_0053_FC:3:1:9891:1072#0	unique	2R	22640818	0	1
ILLUMINA-075005_0053_FC:3:1:9949:1074#0	multi				2
ILLUMINA-075005_0053_FC:3:1:10048:1078#0	unique	2R	10470086	2	1
ILLUMINA-075005_0053_FC:3:1:10142:1075#0	unique	3R	19027816	0	1
ILLUMINA-075005_0053_FC:3:1:10190:1077#0	unique	X	16286923	0	1
ILLUMINA-075005_0053_FC:3:1:10560:1079#0	unique	2L	6934091	3	1
ILLUMINA-075005_0053_FC:3:1:10593:1078#0	unique	3R	27658629	0	1
ILLUMINA-075005_0053_FC:3:1:10859:1080#0	unique	2R	9587616	0	1
ILLUMINA-075005_0053_FC:3:1:10881:1079#0	unique	3L	8326927	0	1
ILLUMINA-075005_0053_FC:3:1:11201:1080#0	unique	2L	561031	0	1
ILLUMINA-075005_0053_FC:3:1:11491:1080#0	multi				7
ILLUMINA-075005_0053_FC:3:1:11782:1074#0	unique	3R	15178392	0	1
ILLUMINA-075005_0053_FC:3:1:12221:1076#0	unique	2L	16777347	0	1
ILLUMINA-075005_0053_FC:3:1:12315:1080#0	unique	2L	13922244	1	1
ILLUMINA-075005_0053_FC:3:1:12404:1075#0	unique	X	628407	1	1
ILLUMINA-075005_0053_FC:3:1:13599:1075#0	unique	3R	29896804	0	1
ILLUMINA-075005_0053_FC:3:1:13702:1076#0	unique	3L	16126101	0	1
ILLUMINA-075005_0053_FC:3:1:13990:1075#0	multi				6
ILLUMINA-075005_0053_FC:3:1:14163:1075#0	unique	2L	2746910	0	1
ILLUMINA-075005_0053_FC:3:1:14506:1073#0	unique	2L	8126215	1	1
ILLUMINA-075005_0053_FC:3:1:14529:1078#0	unique	3R	11223918	0	1
ILLUMINA-075005_0053_FC:3:1:14875:1076#0	unique	3L	11823915	0	1
ILLUMINA-075005_0053_FC:3:1:14978:1079#0	unique	2R	23548677	0	1
ILLUMINA-075005_0053_FC:3:1:15040:1082#0	unique	X	21318848	0	1
ILLUMINA-075005_0053_FC:3:1:15115:1073#0	unique	2R	17408259	0	1
ILLUMINA-075005_0053_FC:3:1:15168:1078#0	unique	3R	9400772	0	1
ILLUMINA-075005_0053_FC:3:1:15924:1076#0	unique	3R	20965961	0	1
ILLUMINA-075005_0053_FC:3:1:16397:1075#0	unique	2R	13237712	2	1
ILLUMINA-075005_0053_FC:3:1:16425:1082#0	unique	3R	14394396	0	1
ILLUMINA-075005_0053_FC:3:1:16455:1072#0	unique	2R	18820333	1	1
ILLUMINA-075005_0053_FC:3:1:16527:1076#0	unique	3L	19536581	0	1
ILLUMINA-075005_0053_FC:3:1:16670:1074#0	unique	3L	6331357	0	1
ILLUMINA-075005_0053_FC:3:1:16713:1074#0	unique	3R	27079316	0	1
ILLUMINA-075005_0053_FC:3:1:17716:1074#0	unique	3R	26257057	0	1
ILLUMINA-075005_0053_FC:3:1:18094:1076#0	unique	2R	6627193	0	1
ILLUMINA-075005_0053_FC:3:1:18500:1073#0	unique	2R	12611040	1	1
ILLUMINA-075005_0053_FC:3:1:18600:1074#0	unique	3L	9636277	0	1
ILLUMINA-075005_0053_FC:3:1:19297:1079#0	unique	3R	27955996	0	1
ILLUMINA-075005_0053_FC:3:1:1349:1093#0	unique	X	18105720	0	1
ILLUMINA-075005_0053_FC:3:1:1808:1091#0	unique	2L	13945109	0	1
ILLUMINA-075005_0053_FC:3:1:2229:1084#0	unique	2R	17430007	0	1
ILLUMINA-075005_0053_FC:3:1:2259:1092#0	multi				11
ILLUMINA-075005_0053_FC:3:1:2311:1090#0	unique	3R	30206555	0	1
ILLUMINA-075005_0053_FC:3:1:2420:1084#0	unique	2L	1606875	0	1
ILLUMINA-075005_0053_FC:3:1:2461:1087#0	unique	3R	12003327	0	1
ILLUMINA-075005_0053_FC:3:1:2612:1088#0	unique	2R	24312939	1	1
ILLUMINA-075005_0053_FC:3:1:3345:1087#0	unique	2R	18555726	2	1
ILLUMINA-075005_0053_FC:3:1:3505:1090#0	unique	3R	29934584	0	1
ILLUMINA-075005_0053_FC:3:1:3764:1087#0	unique	X	13213497	0	1
ILLUMINA-075005_0053_FC:3:1:4124:1087#0	unique	2R	18153569	0	1
ILLUMINA-075005_0053_FC:3:1:4433:1091#0	unique	2L	22247148	0	1
ILLUMINA-075005_0053_FC:3:1:4893:1087#0	unique	2L	11003680	0	1
ILLUMINA-075005_0053_FC:3:1:5150:1090#0	unique	3L	2941505	1	1
ILLUMINA-075005_0053_FC:3:1:6584:1088#0	unique	3R	29747723	1	1
ILLUMINA-075005_0053_FC:3:1:7386:1084#0	unique	2R	17093970	0	1
ILLUMINA-075005_0053_FC:3:1:7561:1094#0	unique	2L	10847434	0	1
ILLUMINA-075005_0053_FC:3:1:8545:1084#0	unique	2R	17408259	0	1
ILLUMINA-075005_0053_FC:3:1:8707:1084#0	unique	3L	16277735	0	1
ILLUMINA-075005_0053_FC:3:1:8837:1088#0	unique	3L	11823281	0	1
ILLUMINA-075005_0053_FC:3:1:9607:1090#0	unique	3L	9050049	0	1
ILLUMINA-075005_0053_FC:3:1:10464:1088#0	unique	2L	21678272	0	1
ILLUMINA-075005_0053_FC:3:1:10651:1094#0	unique	3R	30045346	0	1
ILLUMINA-075005_0053_FC:3:1:10977:1093#0	unique	2L	12106018	0	1
ILLUMINA-075005_0053_FC:3:1:10996:1084#0	unique	2R	7148172	0	1
ILLUMINA-075005_0053_FC:3:1:11162:1085#0	unique	3L	5775232	1	1
ILLUMINA-075005_0053_FC:3:1:11316:1091#0	unique	3L	3816818	1	1
ILLUMINA-075005_0053_FC:3:1:11356:1088#0	unique	3R	24829432	0	1
ILLUMINA-075005_0053_FC:3:1:11723:1083#0	unique	X	143087	0	1
ILLUMINA-075005_0053_FC:3:1:11743:1083#0	unique	2L	13945532	0	1
ILLUMINA-075005_0053_FC:3:1:11849:1088#0	unique	X	18859496	0	1
ILLUMINA-075005_0053_FC:3:1:11870:1083#0	unique	2R	22854718	0	1
ILLUMINA-075005_0053_FC:3:1:11897:1094#0	unique	3R	14814544	0	1
ILLUMINA-075005_0053_FC:3:1:12157:1084#0	unique	2R	16793121	0	1
ILLUMINA-075005_0053_FC:3:1:12622:1088#0	unique	3R	30208264	0	1
ILLUMINA-075005_0053_FC:3:1:12657:1085#0	unique	3R	11215414	0	1
ILLUMINA-075005_0053_FC:3:1:13123:1091#0	unique	2L	13945862	1	1
ILLUMINA-075005_0053_FC:3:1:13208:1083#0	unique	X	15139020	0	1
ILLUMINA-075005_0053_FC:3:1:13743:1093#0	unique	2L	3378387	1	1
ILLUMINA-075005_0053_FC:3:1:14111:1093#0	unique	2R	17409775	1	1
ILLUMINA-075005_0053_FC:3:1:14759:1087#0	unique	2L	4228316	1	1
ILLUMINA-075005_0053_FC:3:1:15564:1083#0	unique	2R	22802045	0	1
ILLUMINA-075005_0053_FC:3:1:16047:1093#0	unique	3R	15441902	0	1
ILLUMINA-075005_0053_FC:3:1:16125:1086#0	unique	2R	17408273	0	1
ILLUMINA-075005_0053_FC:3:1:16272:1088#0	unique	X	6348773	0	1
ILLUMINA-075005_0053_FC:3:1:16741:1085#0	unique	3R	27083532	0	1
ILLUMINA-075005_0053_FC:3:1:16866:1085#0	unique	2R	17867393	1	1
ILLUMINA-075005_0053_FC:3:1:17263:1083#0	unique	3L	13418213	1	1
ILLUMINA-075005_0053_FC:3:1:17492:1083#0	unique	3R	18228509	0	1
ILLUMINA-075005_0053_FC:3:1:18375:1084#0	unique	3R	6386701	1	1
ILLUMINA-075005_0053_FC:3:1:18691:1091#0	multi				2
ILLUMINA-075005_0053_FC:3:1:18794:1091#0	unique	2L	19959323	0	1
ILLUMINA-075005_0053_FC:3:1:18876:1082#0	unique	3L	20496391	0	1
ILLUMINA-075005_0053_FC:3:1:19126:1092#0	multi				3
ILLUMINA-075005_0053_FC:3:1:19649:1085#0	unique	2R	22801726	0	1
ILLUMINA-075005_0053_FC:3:1:19725:1091#0	unique	3L	16277879	0	1
ILLUMINA-075005_0053_FC:3:1:2037:1100#0	unique	X	18878791	0	1
ILLUMINA-075005_0053_FC:3:1:3621:1099#0	unique	3L	9834244	0	1
ILLUMINA-075005_0053_FC:3:1:3887:1103#0	unique	2L	16777320	0	1
ILLUMINA-075005_0053_FC:3:1:4256:1098#0	unique	2R	16782280	0	1
ILLUMINA-075005_0053_FC:3:1:4305:1102#0	unique	X	1373595	0	1
ILLUMINA-075005_0053_FC:3:1:4466:1095#0	unique	3R	21624047	0	1
ILLUMINA-075005_0053_FC:3:1:4494:1105#0	unique	3R	8675076	0	1
ILLUMINA-075005_0053_FC:3:1:4665:1096#0	unique	X	8248717	0	1
ILLUMINA-075005_0053_FC:3:1:4846:1105#0	unique	X	16615066	0	1
ILLUMINA-075005_0053_FC:3:1:5008:1098#0	unique	2L	13922349	0	1
ILLUMINA-075005_0053_FC:3:1:5085:1104#0	unique	2L	9953782	0	1
ILLUMINA-075005_0053_FC:3:1:5235:1097#0	unique	3R	30011805	0	1
ILLUMINA-075005_0053_FC:3:1:5301:1099#0	unique	3R	29220481	1	1
ILLUMINA-075005_0053_FC:3:1:5406:1105#0	unique	2L	6666618	0	1
ILLUMINA-075005_0053_FC:3:1:5613:1096#0	unique	2R	20264591	1	1
ILLUMINA-075005_0053_FC:3:1:5822:1095#0	unique	3L	13043792	0	1
ILLUMINA-075005_0053_FC:3:1:6113:1098#0	unique	3L	8327188	0	1
ILLUMINA-075005_0053_FC:3:1:6160:1097#0	unique	4	656685	0	1
ILLUMINA-075005_0053_FC:3:1:6224:1102#0	unique	3L	20423656	0	1
ILLUMINA-075005_0053_FC:3:1:6602:1104#0	unique	3L	19883393	1	1
ILLUMINA-075005_0053_FC:3:1:6869:1102#0	unique	2R	17546461	1	1
ILLUMINA-075005_0053_FC:3:1:6985:1098#0	unique	2R	22854703	0	1
ILLUMINA-075005_0053_FC:3:1:7207:1104#0	unique	4	66293	0	1
ILLUMINA-075005_0053_FC:3:1:7429:1100#0	unique	3R	5466164	0	1
ILLUMINA-075005_0053_FC:3:1:7948:1104#0	unique	3L	9376522	1	1
ILLUMINA-075005_0053_FC:3:1:8293:1098#0	unique	3R	8346179	1	1
ILLUMINA-075005_0053_FC:3:1:9285:1097#0	unique	3L	5601993	0	1
ILLUMINA-075005_0053_FC:3:1:9826:1097#0	unique	3L	23093669	0	1
ILLUMINA-075005_0053_FC:3:1:9924:1104#0	unique	X	10781063	0	1
ILLUMINA-075005_0053_FC:3:1:10841:1101#0	unique	3R	17041166	0	1
ILLUMINA-075005_0053_FC:3:1:11555:1095#0	unique	2L	7826868	0	1
ILLUMINA-075005_0053_FC:3:1:11864:1103#0	unique	2L	16788654	0	1
ILLUMINA-075005_0053_FC:3:1:12018:1095#0	unique	2R	17546840	0	1
ILLUMINA-075005_0053_FC:3:1:12212:1097#0	unique	3L	9050284	0	1
ILLUMINA-075005_0053_FC:3:1:12362:1095#0	unique	2R	18146225	1	1
ILLUMINA-075005_0053_FC:3:1:12675:1100#0	unique	3R	30003707	0	1
ILLUMINA-075005_0053_FC:3:1:12707:1102#0	unique	3L	9973202	0	1
ILLUMINA-075005_0053_FC:3:1:13245:1104#0	unique	3L	19990506	0	1
ILLUMINA-075005_0053_FC:3:1:13298:1097#0	unique	X	11707222	0	1
ILLUMINA-075005_0053_FC:3:1:14150:1106#0	unique	3L	22076997	1	1
ILLUMINA-075005_0053_FC:3:1:15208:1101#0	unique	3R	30045347	1	1
ILLUMINA-075005_0053_FC:3:1:15425:1098#0	unique	X	3339439	0	1
ILLUMINA-075005_0053_FC:3:1:15490:1097#0	unique	3L	12220312	0	1
ILLUMINA-075005_0053_FC:3:1:15619:1101#0	unique	X	6531990	1	1
ILLUMINA-075005_0053_FC:3:1:16202:1099#0	unique	2R	22640602	0	1
ILLUMINA-075005_0053_FC:3:1:16293:1101#0	unique	3L	9049606	0	1
ILLUMINA-075005_0053_FC:3:1:16333:1094#0	unique	2R	17409510	3	1
ILLUMINA-075005_0053_FC:3:1:16481:1103#0	unique	X	13596562	0	1
ILLUMINA-075005_0053_FC:3:1:16819:1095#0	unique	3L	9428904	1	1
ILLUMINA-075005_0053_FC:3:1:17073:1096#0	unique	2R	19447327	0	1
ILLUMINA-075005_0053_FC:3:1:17292:1105#0	unique	3R	15331058	0	1
ILLUMINA-075005_0053_FC:3:1:17404:1099#0	unique	X	18098649	0	1
ILLUMINA-075005_0053_FC:3:1:17508:1098#0	unique	X	19493191	1	1
ILLUMINA-075005_0053_FC:3:1:17644:1105#0	unique	3L	8327000	0	1
ILLUMINA-075005_0053_FC:3:1:17882:1101#0	unique	3R	29747783	0	1
ILLUMINA-075005_0053_FC:3:1:18088:1101#0	unique	2L	18442741	1	1
ILLUMINA-075005_0053_FC:3:1:18603:1097#0	unique	2L	8042028	0	1
ILLUMINA-075005_0053_FC:3:1:18628:1100#0	unique	2R	17408737	2	1
ILLUMINA-075005_0053_FC:3:1:19256:1104#0	unique	3R	23355440	0	1
ILLUMINA-075005_0053_FC:3:1:19340:1095#0	unique	X	2026691	2	1
ILLUMINA-075005_0053_FC:3:1:1126:1117#0	unique	2L	2579319	0	1
ILLUMINA-075005_0053_FC:3:1:1782:1114#0	unique	X	1369904	1	1
ILLUMINA-075005_0053_FC:3:1:2557:1116#0	unique	3R	7088653	0	1
ILLUMINA-075005_0053_FC:3:1:2763:1116#0	unique	2L	1726243	0	1
ILLUMINA-075005_0053_FC:3:1:2837:1115#0	unique	3L	8640653	0	1
ILLUMINA-075005_0053_FC:3:1:2857:1116#0	unique	3L	20351585	0	1
ILLUMINA-075005_0053_FC:3:1:2955:1108#0	unique	3R	29862827	0	1
ILLUMINA-075005_0053_FC:3:1:3184:1116#0	unique	2R	8913718	0	1
ILLUMINA-075005_0053_FC:3:1:3277:1115#0	unique	3R	4777973	0	1
ILLUMINA-075005_0053_FC:3:1:3963:1107#0	unique	X	1890984	0	1
ILLUMINA-075005_0053_FC:3:1:3981:1113#0	unique	2R	19442935	0	1
ILLUMINA-075005_0053_FC:3:1:4159:1106#0	unique	3R	29105134	1	1
ILLUMINA-075005_0053_FC:3:1:4241:1111#0	unique	3L	17025506	0	1
ILLUMINA-075005_0053_FC:3:1:4626:1113#0	unique	3R	8713984	0	1
ILLUMINA-075005_0053_FC:3:1:4650:1114#0	unique	3L	16791000	0	1
ILLUMINA-075005_0053_FC:3:1:4757:1118#0	unique	2R	11284622	0	1
ILLUMINA-075005_0053_FC:3:1:4879:1113#0	unique	3L	8326985	0	1
ILLUMINA-075005_0053_FC:3:1:4961:1108#0	unique	3R	11224760	0	1
ILLUMINA-075005_0053_FC:3:1:5501:1109#0	unique	2L	9543387	0	1
ILLUMINA-075005_0053_FC:3:1:5630:1110#0	unique	2R	20264591	1	1
ILLUMINA-075005_0053_FC:3:1:6186:1110#0	unique	X	4142825	1	1
ILLUMINA-075005_0053_FC:3:1:6204:1110#0	unique	3L	8326184	0	1
ILLUMINA-075005_0053_FC:3:1:6396:1117#0	unique	3R	22372531	0	1
ILLUMINA-075005_0053_FC:3:1:6832:1107#0	unique	3R	15312852	2	1
ILLUMINA-075005_0053_FC:3:1:6892:1114#0	unique	3R	21266946	0	1
ILLUMINA-075005_0053_FC:3:1:7001:1109#0	unique	3L	19535716	1	1
ILLUMINA-075005_0053_FC:3:1:7083:1110#0	unique	2R	10708733	1	1
ILLUMINA-075005_0053_FC:3:1:7791:1115#0	unique	2L	560906	0	1
ILLUMINA-075005_0053_FC:3:1:8133:1106#0	unique	2L	16788654	0	1
ILLUMINA-075005_0053_FC:3:1:8335:1107#0	unique	2L	9968388	1	1
ILLUMINA-075005_0053_FC:3:1:8385:1113#0	unique	3R	19095730	0	1
ILLUMINA-075005_0053_FC:3:1:8876:1112#0	unique	3L	16103216	0	1
ILLUMINA-075005_0053_FC:3:1:9001:1107#0	unique	2R	6627152	0	1
ILLUMINA-075005_0053_FC:3:1:9075:1106#0	unique	3R	12401169	0	1
ILLUMINA-075005_0053_FC:3:1:9297:1115#0	unique	3R	29863499	0	1
ILLUMINA-075005_0053_FC:3:1:9854:1107#0	unique	3R	16436194	0	1
ILLUMINA-075005_0053_FC:3:1:10152:1117#0	unique	2R	17572340	0	1
ILLUMINA-075005_0053_FC:3:1:10227:1117#0	unique	3L	21987028	1	1
ILLUMINA-075005_0053_FC:3:1:10273:1118#0	unique	2L	10201328	0	1
ILLUMINA-075005_0053_FC:3:1:10344:1106#0	unique	3L	650775	0	1
ILLUMINA-075005_0053_FC:3:1:10384:1110#0	unique	2R	22640910	0	1
ILLUMINA-075005_0053_FC:3:1:10444:1107#0	unique	2R	16586553	0	1
ILLUMINA-075005_0053_FC:3:1:10736:1112#0	unique	X	20241718	0	1
ILLUMINA-075005_0053_FC:3:1:11156:1110#0	unique	2R	13509252	1	1
ILLUMINA-075005_0053_FC:3:1:11228:1110#0	unmapped				0
ILLUMINA-075005_0053_FC:3:1:11360:1115#0	unique	X	6680954	0	1
ILLUMINA-075005_0053_FC:3:1:11453:1116#0	unique	2L	5529206	0	1
ILLUMINA-075005_0053_FC:3:1:11627:1112#0	unique	3L	9050213	0	1
ILLUMINA-075005_0053_FC:3:1:11814:1112#0	unique	3L	2588784	1	1
ILLUMINA-075005_0053_FC:3:1:12661:1113#0	unique	2R	24085806	0	1
ILLUMINA-075005_0053_FC:3:1:13073:1116#0	unique	2L	13945750	0	1
ILLUMINA-075005_0053_FC:3:1:13341:1109#0	unique	3R	23983748	1	1
ILLUMINA-075005_0053_FC:3:1:13502:1117#0	multi				8
ILLUMINA-075005_0053_FC:3:1:13703:1116#0	unique	3L	7709844	1	1
ILLUMINA-075005_0053_FC:3:1:13939:1115#0	unique	3R	13778316	1	1
ILLUMINA-075005_0053_FC:3:1:13962:1108#0	unique	3L	9428905	1	1
ILLUMINA-075005_0053_FC:3:1:14912:1106#0	unique	2R	22800728	2	1
ILLUMINA-075005_0053_FC:3:1:15046:1109#0	unique	3R	18181566	0	1
ILLUMINA-075005_0053_FC:3:1:15075:1112#0	unique	3L	5760382	0	1
ILLUMINA-075005_0053_FC:3:1:15129:1113#0	unique	2R	24968809	0	1
ILLUMINA-075005_0053_FC:3:1:15858:1110#0	unique	3L	11059967	0	1
ILLUMINA-075005_0053_FC:3:1:16916:1109#0	unique	3L	12122046	0	1
ILLUMINA-075005_0053_FC:3:1:17062:1109#0	unique	2R	17408858	0	1
ILLUMINA-075005_0053_FC:3:1:17348:1111#0	unique	3L	16307853	0	1
ILLUMINA-075005_0053_FC:3:1:18484:1117#0	unique	X	18092773	0	1
ILLUMINA-075005_0053_FC:3:1:18707:1115#0	unique	2L	13922347	0	1
ILLUMINA-075005_0053_FC:3:1:18862:1106#0	unique	2L	13945393	0	1
ILLUMINA-075005_0053_FC:3:1:19674:1110#0	unique	2R	16099242	0	1
ILLUMINA-075005_0053_FC:3:1:1859:1126#0	unique	dmel_mitochondrion_genome	13168	0	1
ILLUMINA-075005_0053_FC:3:1:2394:1128#0	unique	2R	21211727	2	1
ILLUMINA-075005_0053_FC:3:1:2817:1128#0	unique	2L	13945658	0	1
ILLUMINA-075005_0053_FC:3:1:3232:1121#0	unique	2R	14215619	0	1
ILLUMINA-075005_0053_FC:3:1:3669:1128#0	unique	2L	16777283	0	1
ILLUMINA-075005_0053_FC:3:1:3687:1128#0	unique	2R	23966371	0	1
ILLUMINA-075005_0053_FC:3:1:4196:1126#0	unique	3R	25681968	0	1
ILLUMINA-075005_0053_FC:3:1:4347:1121#0	unique	3R	29149816	0	1
ILLUMINA-075005_0053_FC:3:1:4473:1128#0	unique	dmel_mitochondrion_genome	8395	0	1
ILLUMINA-075005_0053_FC:3:1:4505:1126#0	unique	X	4704246	0	1
ILLUMINA-075005_0053_FC:3:1:4860:1125#0	unique	3R	25475834	0	1
ILLUMINA-075005_0053_FC:3:1:5188:1127#0	unique	3R	31741742	0	1
ILLUMINA-075005_0053_FC:3:1:6006:1128#0	unique	2R	23067737	0	1
ILLUMINA-075005_0053_FC:3:1:6101:1123#0	unique	2R	17408662	1	1
