read_id,star_pos,star_strand,star_nM,my_status,my_pos,my_strand,my_mismatches,match
ILLUMINA-075005_0053_FC:3:1:13743:1093#0,3378387,-,1,unique,3378387,-,1,yes
ILLUMINA-075005_0053_FC:3:1:14759:1087#0,4228316,-,1,unique,4228316,-,1,yes
ILLUMINA-075005_0053_FC:3:1:18794:1091#0,19959323,-,0,unique,19959323,-,0,yes
ILLUMINA-075005_0053_FC:3:1:3887:1103#0,16777320,-,0,unique,16777320,-,0,yes
ILLUMINA-075005_0053_FC:3:1:5008:1098#0,13922349,+,0,unique,13922349,+,0,yes
ILLUMINA-075005_0053_FC:3:1:5085:1104#0,9953782,+,0,unique,9953782,+,0,yes
ILLUMINA-075005_0053_FC:3:1:5406:1105#0,6666618,+,0,unique,6666618,+,0,yes
ILLUMINA-075005_0053_FC:3:1:11555:1095#0,7826868,+,0,unique,7826868,+,0,yes
ILLUMINA-075005_0053_FC:3:1:11864:1103#0,16788654,-,0,unique,16788654,-,0,yes
ILLUMINA-075005_0053_FC:3:1:18088:1101#0,18442741,+,1,unique,18442741,+,1,yes
ILLUMINA-075005_0053_FC:3:1:18603:1097#0,8042028,+,0,unique,8042028,+,0,yes
ILLUMINA-075005_0053_FC:3:1:1126:1117#0,2579319,+,0,unique,2579319,+,0,yes
ILLUMINA-075005_0053_FC:3:1:2763:1116#0,1726243,+,0,unique,1726243,+,0,yes
ILLUMINA-075005_0053_FC:3:1:5501:1109#0,9543387,-,0,unique,9543387,-,0,yes
ILLUMINA-075005_0053_FC:3:1:7791:1115#0,560906,+,0,unique,560906,+,0,yes
ILLUMINA-075005_0053_FC:3:1:8133:1106#0,16788654,-,0,unique,16788654,-,0,yes
ILLUMINA-075005_0053_FC:3:1:8335:1107#0,9968388,-,1,unique,9968388,-,1,yes
ILLUMINA-075005_0053_FC:3:1:10273:1118#0,10201328,-,0,unique,10201328,-,0,yes
ILLUMINA-075005_0053_FC:3:1:11453:1116#0,5529206,-,0,unique,5529206,-,0,yes
ILLUMINA-075005_0053_FC:3:1:13073:1116#0,13945750,+,0,unique,13945750,+,0,yes
ILLUMINA-075005_0053_FC:3:1:18707:1115#0,13922347,+,0,unique,13922347,+,0,yes
ILLUMINA-075005_0053_FC:3:1:18862:1106#0,13945393,+,0,unique,13945393,+,0,yes
ILLUMINA-075005_0053_FC:3:1:2817:1128#0,13945658,+,0,unique,13945658,+,0,yes
ILLUMINA-075005_0053_FC:3:1:3669:1128#0,16777283,-,0,unique,16777283,-,0,yes
ILLUMINA-075005_0053_FC:3:1:9848:1125#0,9709714,+,0,unique,9709714,+,0,yes
ILLUMINA-075005_0053_FC:3:1:11668:1125#0,16782879,-,1,unique,16782879,-,1,yes
ILLUMINA-075005_0053_FC:3:1:11870:1124#0,14741487,+,0,multi,,,,no
ILLUMINA-075005_0053_FC:3:1:11916:1123#0,10201736,-,1,unique,10201736,-,1,yes
ILLUMINA-075005_0053_FC:3:1:12285:1122#0,6558420,-,2,unique,6558420,-,2,yes
ILLUMINA-075005_0053_FC:3:1:12466:1119#0,13782017,-,0,unique,13782017,-,0,yes
ILLUMINA-075005_0053_FC:3:1:14548:1127#0,21170193,-,0,unique,21170193,-,0,yes
ILLUMINA-075005_0053_FC:3:1:15021:1121#0,13921094,+,0,unique,13921094,+,0,yes
ILLUMINA-075005_0053_FC:3:1:16232:1124#0,16327258,-,0,unique,16327258,-,0,yes
ILLUMINA-075005_0053_FC:3:1:16270:1129#0,13921079,+,0,unique,13921079,+,0,yes
ILLUMINA-075005_0053_FC:3:1:16510:1129#0,10224763,+,0,unique,10224763,+,0,yes
ILLUMINA-075005_0053_FC:3:1:16620:1129#0,13920974,+,0,unique,13920974,+,0,yes
ILLUMINA-075005_0053_FC:3:1:17661:1127#0,420380,-,1,unique,420380,-,1,yes
ILLUMINA-075005_0053_FC:3:1:17992:1122#0,19959423,-,0,unique,19959423,-,0,yes
ILLUMINA-075005_0053_FC:3:1:1494:1134#0,21170193,-,0,unique,21170193,-,0,yes
ILLUMINA-075005_0053_FC:3:1:9320:1131#0,23312956,+,1,unique,23312956,+,1,yes
ILLUMINA-075005_0053_FC:3:1:10734:1139#0,13945537,+,0,unique,13945537,+,0,yes
ILLUMINA-075005_0053_FC:3:1:12944:1137#0,7825950,+,0,unique,7825950,+,0,yes
ILLUMINA-075005_0053_FC:3:1:13002:1138#0,13921130,+,0,unique,13921130,+,0,yes
ILLUMINA-075005_0053_FC:3:1:14079:1135#0,14186770,+,1,unique,14186770,+,1,yes
ILLUMINA-075005_0053_FC:3:1:15971:1134#0,21170922,-,0,unique,21170922,-,0,yes
ILLUMINA-075005_0053_FC:3:1:17307:1133#0,21678387,+,0,unique,21678387,+,0,yes
ILLUMINA-075005_0053_FC:3:1:17697:1132#0,6979980,+,2,unique,6979980,+,2,yes
ILLUMINA-075005_0053_FC:3:1:17904:1136#0,8686754,-,0,unique,8686754,-,0,yes
ILLUMINA-075005_0053_FC:3:1:18495:1134#0,13945856,+,2,unique,13945856,+,2,yes
ILLUMINA-075005_0053_FC:3:1:4012:1147#0,13923364,+,0,unique,13923364,+,0,yes
ILLUMINA-075005_0053_FC:3:1:6193:1151#0,642816,+,1,unique,642816,+,1,yes
ILLUMINA-075005_0053_FC:3:1:7404:1148#0,8042021,+,0,unique,8042021,+,0,yes
ILLUMINA-075005_0053_FC:3:1:7600:1150#0,10358511,+,0,unique,10358511,+,0,yes
ILLUMINA-075005_0053_FC:3:1:8044:1145#0,13921023,+,1,unique,13921023,+,1,yes
ILLUMINA-075005_0053_FC:3:1:8372:1148#0,7231035,+,2,unique,7231035,+,2,yes
ILLUMINA-075005_0053_FC:3:1:10901:1144#0,18706519,+,0,unique,18706519,+,0,yes
ILLUMINA-075005_0053_FC:3:1:11777:1152#0,19008379,+,0,unique,19008379,+,0,yes
ILLUMINA-075005_0053_FC:3:1:13912:1144#0,13922711,+,0,unique,13922711,+,0,yes
ILLUMINA-075005_0053_FC:3:1:18619:1150#0,9767989,-,1,unique,9767989,-,1,yes
ILLUMINA-075005_0053_FC:3:1:1386:1154#0,10848084,+,1,unique,10848084,+,1,yes
ILLUMINA-075005_0053_FC:3:1:1428:1162#0,21678485,+,0,unique,21678485,+,0,yes
ILLUMINA-075005_0053_FC:3:1:4462:1160#0,5984265,-,1,unique,5984265,-,1,yes
ILLUMINA-075005_0053_FC:3:1:4555:1160#0,4447369,+,0,unique,4447369,+,0,yes
ILLUMINA-075005_0053_FC:3:1:6655:1158#0,10847434,+,0,unique,10847434,+,0,yes
ILLUMINA-075005_0053_FC:3:1:8391:1164#0,7802244,+,0,unique,7802244,+,0,yes
ILLUMINA-075005_0053_FC:3:1:8596:1155#0,10410360,-,0,unique,10410360,-,0,yes
ILLUMINA-075005_0053_FC:3:1:8740:1162#0,5196128,-,0,unique,5196128,-,0,yes
ILLUMINA-075005_0053_FC:3:1:8758:1159#0,19762154,+,0,unique,19762154,+,0,yes
ILLUMINA-075005_0053_FC:3:1:8809:1161#0,13933453,+,1,unique,13933453,+,1,yes
ILLUMINA-075005_0053_FC:3:1:10378:1157#0,13933316,+,0,unique,13933316,+,0,yes
ILLUMINA-075005_0053_FC:3:1:16509:1159#0,10274477,+,0,unique,10274477,+,0,yes
ILLUMINA-075005_0053_FC:3:1:17813:1161#0,5525420,-,0,unique,5525420,-,0,yes
ILLUMINA-075005_0053_FC:3:1:18381:1165#0,7825699,+,0,unique,7825699,+,0,yes
ILLUMINA-075005_0053_FC:3:1:19229:1163#0,13945337,+,0,unique,13945337,+,0,yes
ILLUMINA-075005_0053_FC:3:1:19435:1156#0,10221666,-,1,unique,10221666,-,1,yes
ILLUMINA-075005_0053_FC:3:1:3616:1165#0,12299201,-,0,unique,12299201,-,0,yes
ILLUMINA-075005_0053_FC:3:1:3947:1169#0,13933323,+,0,unique,13933323,+,0,yes
ILLUMINA-075005_0053_FC:3:1:8316:1176#0,18442510,+,0,unique,18442510,+,0,yes
ILLUMINA-075005_0053_FC:3:1:9842:1169#0,18442959,+,0,unique,18442959,+,0,yes
ILLUMINA-075005_0053_FC:3:1:12663:1175#0,14409140,-,0,unique,14409140,-,0,yes
ILLUMINA-075005_0053_FC:3:1:13237:1175#0,3466857,-,1,unique,3466857,-,1,yes
ILLUMINA-075005_0053_FC:3:1:14914:1165#0,7826798,+,1,unique,7826798,+,1,yes
ILLUMINA-075005_0053_FC:3:1:16110:1168#0,4797230,+,1,unique,4797230,+,1,yes
ILLUMINA-075005_0053_FC:3:1:16957:1172#0,21172705,-,1,unique,21172705,-,1,yes
ILLUMINA-075005_0053_FC:3:1:18219:1169#0,9896583,+,0,unique,9896583,+,0,yes
ILLUMINA-075005_0053_FC:3:1:2320:1178#0,3516866,-,0,unique,3516866,-,0,yes
ILLUMINA-075005_0053_FC:3:1:2630:1184#0,19053244,-,0,unique,19053244,-,0,yes
ILLUMINA-075005_0053_FC:3:1:3671:1181#0,9896814,+,0,unique,9896814,+,0,yes
ILLUMINA-075005_0053_FC:3:1:4280:1184#0,10201296,-,0,unique,10201296,-,0,yes
ILLUMINA-075005_0053_FC:3:1:5118:1181#0,21678830,+,1,unique,21678830,+,1,yes
ILLUMINA-075005_0053_FC:3:1:5171:1181#0,16788641,-,0,unique,16788641,-,0,yes
ILLUMINA-075005_0053_FC:3:1:7426:1186#0,16786043,-,0,unique,16786043,-,0,yes
ILLUMINA-075005_0053_FC:3:1:10272:1186#0,16786229,-,0,unique,16786229,-,0,yes
ILLUMINA-075005_0053_FC:3:1:10643:1183#0,6343858,-,2,unique,6343858,-,2,yes
ILLUMINA-075005_0053_FC:3:1:13614:1184#0,420538,-,1,unique,420538,-,1,yes
ILLUMINA-075005_0053_FC:3:1:16341:1182#0,5071705,-,0,unique,5071705,-,0,yes
ILLUMINA-075005_0053_FC:3:1:16463:1177#0,16774631,-,0,unique,16774631,-,0,yes
ILLUMINA-075005_0053_FC:3:1:17988:1184#0,10316654,-,0,unique,10316654,-,0,yes
ILLUMINA-075005_0053_FC:3:1:18849:1179#0,10318258,+,0,unique,10318258,+,0,yes
ILLUMINA-075005_0053_FC:3:1:1671:1190#0,2216550,+,0,unique,2216550,+,0,yes
ILLUMINA-075005_0053_FC:3:1:3724:1192#0,22535874,+,0,unique,22535874,+,0,yes
ILLUMINA-075005_0053_FC:3:1:4502:1191#0,13921968,+,1,unique,13921968,+,1,yes
ILLUMINA-075005_0053_FC:3:1:7031:1193#0,4469275,+,0,unique,4469275,+,0,yes
ILLUMINA-075005_0053_FC:3:1:10557:1194#0,10410338,-,0,unique,10410338,-,0,yes
ILLUMINA-075005_0053_FC:3:1:11360:1197#0,16786561,-,0,unique,16786561,-,0,yes
ILLUMINA-075005_0053_FC:3:1:11887:1195#0,13922215,+,1,unique,13922215,+,1,yes
ILLUMINA-075005_0053_FC:3:1:15120:1193#0,9696537,+,0,unique,9696537,+,0,yes
ILLUMINA-075005_0053_FC:3:1:16177:1195#0,1725587,+,0,unique,1725587,+,0,yes
ILLUMINA-075005_0053_FC:3:1:16792:1191#0,13366984,-,0,unique,13366984,-,0,yes
ILLUMINA-075005_0053_FC:3:1:18352:1192#0,19554805,-,0,unique,19554805,-,0,yes
ILLUMINA-075005_0053_FC:3:1:19161:1189#0,9896337,+,0,unique,9896337,+,0,yes
ILLUMINA-075005_0053_FC:3:1:19767:1191#0,16786710,-,1,unique,16786710,-,1,yes
ILLUMINA-075005_0053_FC:3:1:7622:1206#0,4344352,-,0,unique,4344352,-,0,yes
ILLUMINA-075005_0053_FC:3:1:11033:1210#0,13921204,+,0,unique,13921204,+,0,yes
ILLUMINA-075005_0053_FC:3:1:13206:1207#0,13933097,+,0,unique,13933097,+,0,yes
ILLUMINA-075005_0053_FC:3:1:15681:1210#0,1726100,+,0,unique,1726100,+,0,yes
ILLUMINA-075005_0053_FC:3:1:15969:1206#0,10975932,+,0,unique,10975932,+,0,yes
ILLUMINA-075005_0053_FC:3:1:16346:1211#0,3481535,+,0,unique,3481535,+,0,yes
ILLUMINA-075005_0053_FC:3:1:18769:1205#0,22247547,+,0,unique,22247547,+,0,yes
ILLUMINA-075005_0053_FC:3:1:5596:1223#0,16788659,-,0,unique,16788659,-,0,yes
ILLUMINA-075005_0053_FC:3:1:12746:1213#0,5051306,+,1,unique,5051306,+,1,yes
ILLUMINA-075005_0053_FC:3:1:12845:1213#0,9573577,+,0,unique,9573577,+,0,yes
ILLUMINA-075005_0053_FC:3:1:14154:1223#0,13921023,+,0,unique,13921023,+,0,yes
ILLUMINA-075005_0053_FC:3:1:14275:1213#0,16781105,-,1,unique,16781105,-,1,yes
ILLUMINA-075005_0053_FC:3:1:15805:1217#0,4994875,+,0,unique,4994875,+,0,yes
ILLUMINA-075005_0053_FC:3:1:1076:1229#0,7206418,+,1,unique,7206418,+,1,yes
ILLUMINA-075005_0053_FC:3:1:3932:1231#0,16774623,-,0,unique,16774623,-,0,yes
ILLUMINA-075005_0053_FC:3:1:11516:1226#0,9549453,+,0,unique,9549453,+,0,yes
ILLUMINA-075005_0053_FC:3:1:14632:1224#0,10303598,+,0,unique,10303598,+,0,yes
ILLUMINA-075005_0053_FC:3:1:14843:1225#0,14165981,+,1,unique,14165981,+,1,yes
ILLUMINA-075005_0053_FC:3:1:2373:1243#0,7744493,+,0,unique,7744493,+,0,yes
ILLUMINA-075005_0053_FC:3:1:5825:1236#0,561031,+,0,unique,561031,+,0,yes
ILLUMINA-075005_0053_FC:3:1:6435:1238#0,6937238,+,3,unique,6937238,+,3,yes
ILLUMINA-075005_0053_FC:3:1:7000:1235#0,13945298,+,0,unique,13945298,+,0,yes
ILLUMINA-075005_0053_FC:3:1:7034:1239#0,10771107,-,0,unique,10771107,-,0,yes
ILLUMINA-075005_0053_FC:3:1:7076:1246#0,561004,+,0,unique,561004,+,0,yes
ILLUMINA-075005_0053_FC:3:1:7427:1246#0,19008432,+,1,unique,19008432,+,1,yes
ILLUMINA-075005_0053_FC:3:1:8089:1244#0,21679045,+,1,unique,21679045,+,1,yes
ILLUMINA-075005_0053_FC:3:1:9306:1237#0,12105529,-,0,unique,12105529,-,0,yes
ILLUMINA-075005_0053_FC:3:1:9701:1244#0,18988220,-,0,unique,18988220,-,0,yes
ILLUMINA-075005_0053_FC:3:1:10263:1246#0,13945533,+,0,unique,13945533,+,0,yes
ILLUMINA-075005_0053_FC:3:1:10281:1241#0,10410305,-,0,unique,10410305,-,0,yes
ILLUMINA-075005_0053_FC:3:1:11212:1240#0,10848070,+,1,unique,10848070,+,1,yes
ILLUMINA-075005_0053_FC:3:1:11293:1238#0,10848386,+,1,unique,10848386,+,1,yes
ILLUMINA-075005_0053_FC:3:1:12495:1240#0,12106635,-,0,unique,12106635,-,0,yes
ILLUMINA-075005_0053_FC:3:1:15697:1243#0,3467184,-,4,unmapped,,,,no
ILLUMINA-075005_0053_FC:3:1:3491:1258#0,19959407,-,0,unique,19959407,-,0,yes
ILLUMINA-075005_0053_FC:3:1:3979:1255#0,1725672,+,0,unique,1725672,+,0,yes
ILLUMINA-075005_0053_FC:3:1:4370:1256#0,13933620,+,0,unique,13933620,+,0,yes
ILLUMINA-075005_0053_FC:3:1:6091:1258#0,21725228,-,0,unique,21725228,-,0,yes
ILLUMINA-075005_0053_FC:3:1:7751:1249#0,4228432,-,0,unique,4228432,-,0,yes
ILLUMINA-075005_0053_FC:3:1:8287:1251#0,13394184,+,0,unique,13394184,+,0,yes
ILLUMINA-075005_0053_FC:3:1:8835:1256#0,6978214,+,0,unique,6978214,+,0,yes
ILLUMINA-075005_0053_FC:3:1:9524:1254#0,9896309,+,0,unique,9896309,+,0,yes
ILLUMINA-075005_0053_FC:3:1:9903:1254#0,18715965,+,0,unique,18715965,+,0,yes
ILLUMINA-075005_0053_FC:3:1:10084:1250#0,9390641,-,0,unique,9390641,-,0,yes
ILLUMINA-075005_0053_FC:3:1:12973:1250#0,8161798,+,1,unique,8161798,+,1,yes
ILLUMINA-075005_0053_FC:3:1:13275:1255#0,21678809,+,0,unique,21678809,+,0,yes
ILLUMINA-075005_0053_FC:3:1:3389:1263#0,13933457,+,0,unique,13933457,+,0,yes
ILLUMINA-075005_0053_FC:3:1:6410:1259#0,1607059,-,0,unique,1607059,-,0,yes
ILLUMINA-075005_0053_FC:3:1:8676:1262#0,5221291,+,1,unique,5221291,+,1,yes
ILLUMINA-075005_0053_FC:3:1:9065:1264#0,12063705,+,2,unique,12063705,+,2,yes
ILLUMINA-075005_0053_FC:3:1:11193:1266#0,13921098,+,0,unique,13921098,+,0,yes
ILLUMINA-075005_0053_FC:3:1:11551:1261#0,9968382,-,0,unique,9968382,-,0,yes
ILLUMINA-075005_0053_FC:3:1:13017:1260#0,10771111,-,0,unique,10771111,-,0,yes
ILLUMINA-075005_0053_FC:3:1:13473:1268#0,3036640,+,0,unique,3036640,+,0,yes
ILLUMINA-075005_0053_FC:3:1:15665:1262#0,16786560,-,0,unique,16786560,-,0,yes
ILLUMINA-075005_0053_FC:3:1:18679:1261#0,900634,-,0,unique,900634,-,0,yes
ILLUMINA-075005_0053_FC:3:1:19463:1270#0,18530444,-,1,unique,18530444,-,1,yes
ILLUMINA-075005_0053_FC:3:1:19726:1261#0,5205396,-,0,unique,5205396,-,0,yes
ILLUMINA-075005_0053_FC:3:1:2595:1280#0,20386734,+,0,unique,20386734,+,0,yes
ILLUMINA-075005_0053_FC:3:1:3187:1271#0,13370673,+,0,unique,13370673,+,0,yes
ILLUMINA-075005_0053_FC:3:1:3670:1273#0,13922245,+,0,unique,13922245,+,0,yes
ILLUMINA-075005_0053_FC:3:1:5758:1273#0,9555419,+,0,unique,9555419,+,0,yes
ILLUMINA-075005_0053_FC:3:1:6465:1282#0,16783198,-,0,unique,16783198,-,0,yes
ILLUMINA-075005_0053_FC:3:1:7960:1282#0,12978009,-,1,unique,12978009,-,1,yes
ILLUMINA-075005_0053_FC:3:1:8230:1270#0,9427482,-,0,unique,9427482,-,0,yes
ILLUMINA-075005_0053_FC:3:1:8915:1280#0,6934656,+,0,unique,6934656,+,0,yes
ILLUMINA-075005_0053_FC:3:1:9223:1279#0,15036886,-,0,unique,15036886,-,0,yes
ILLUMINA-075005_0053_FC:3:1:10692:1274#0,4966380,+,0,unique,4966380,+,0,yes
ILLUMINA-075005_0053_FC:3:1:14145:1271#0,21717130,-,1,unique,21717130,-,1,yes
ILLUMINA-075005_0053_FC:3:1:14542:1276#0,5046230,-,0,unique,5046230,-,0,yes
ILLUMINA-075005_0053_FC:3:1:16017:1277#0,22247150,+,0,unique,22247150,+,0,yes
ILLUMINA-075005_0053_FC:3:1:16105:1278#0,6933170,+,1,unique,6933170,+,1,yes
ILLUMINA-075005_0053_FC:3:1:18133:1275#0,13920796,+,0,unique,13920796,+,0,yes
ILLUMINA-075005_0053_FC:3:1:5787:1290#0,22247149,+,1,unique,22247149,+,1,yes
ILLUMINA-075005_0053_FC:3:1:7939:1283#0,4944622,+,0,unique,4944622,+,0,yes
ILLUMINA-075005_0053_FC:3:1:8139:1288#0,1984952,+,1,unique,1984952,+,1,yes
ILLUMINA-075005_0053_FC:3:1:10016:1290#0,13922245,+,0,unique,13922245,+,0,yes
ILLUMINA-075005_0053_FC:3:1:11445:1294#0,7744042,+,0,unique,7744042,+,0,yes
ILLUMINA-075005_0053_FC:3:1:12495:1283#0,16777022,-,0,unique,16777022,-,0,yes
ILLUMINA-075005_0053_FC:3:1:13607:1291#0,9574229,+,0,unique,9574229,+,0,yes
ILLUMINA-075005_0053_FC:3:1:13992:1282#0,9968348,-,0,unique,9968348,-,0,yes
ILLUMINA-075005_0053_FC:3:1:14428:1286#0,6047625,+,0,unique,6047625,+,0,yes
ILLUMINA-075005_0053_FC:3:1:2764:1300#0,13933502,+,0,unique,13933502,+,0,yes
ILLUMINA-075005_0053_FC:3:1:3222:1303#0,4228365,-,0,unique,4228365,-,0,yes
ILLUMINA-075005_0053_FC:3:1:3633:1297#0,11003608,+,1,unique,11003608,+,1,yes
ILLUMINA-075005_0053_FC:3:1:8498:1298#0,22247253,+,0,unique,22247253,+,0,yes
ILLUMINA-075005_0053_FC:3:1:9106:1297#0,11157494,+,2,unique,11157494,+,2,yes
ILLUMINA-075005_0053_FC:3:1:9729:1303#0,9575323,+,2,unique,9575323,+,2,yes
ILLUMINA-075005_0053_FC:3:1:10485:1297#0,561692,+,1,unique,561692,+,1,yes
ILLUMINA-075005_0053_FC:3:1:11151:1300#0,16785656,-,1,unique,16785656,-,1,yes
ILLUMINA-075005_0053_FC:3:1:13232:1306#0,561170,+,0,unique,561170,+,0,yes
ILLUMINA-075005_0053_FC:3:1:15518:1303#0,4966789,+,0,unique,4966789,+,0,yes
ILLUMINA-075005_0053_FC:3:1:16123:1299#0,1725776,+,0,unique,1725776,+,0,yes
ILLUMINA-075005_0053_FC:3:1:17482:1301#0,5071677,-,0,unique,5071677,-,0,yes
ILLUMINA-075005_0053_FC:3:1:17552:1298#0,10201833,-,0,unique,10201833,-,0,yes
ILLUMINA-075005_0053_FC:3:1:19029:1297#0,9968382,-,0,unique,9968382,-,0,yes
ILLUMINA-075005_0053_FC:3:1:1637:1310#0,5985461,-,1,unique,5985461,-,1,yes
ILLUMINA-075005_0053_FC:3:1:2544:1306#0,21678928,+,0,unique,21678928,+,0,yes
ILLUMINA-075005_0053_FC:3:1:4087:1308#0,21171992,-,0,unique,21171992,-,0,yes
ILLUMINA-075005_0053_FC:3:1:4547:1310#0,14166334,+,0,unique,14166334,+,0,yes
ILLUMINA-075005_0053_FC:3:1:4690:1306#0,16780720,-,0,unique,16780720,-,0,yes
ILLUMINA-075005_0053_FC:3:1:5951:1317#0,14617182,-,0,unique,14617182,-,0,yes
ILLUMINA-075005_0053_FC:3:1:6655:1311#0,6047531,+,1,unique,6047531,+,1,yes
ILLUMINA-075005_0053_FC:3:1:8743:1310#0,13933122,+,0,unique,13933122,+,0,yes
ILLUMINA-075005_0053_FC:3:1:13398:1306#0,13921079,+,0,unique,13921079,+,0,yes
ILLUMINA-075005_0053_FC:3:1:16166:1314#0,10409829,-,0,unique,10409829,-,0,yes
ILLUMINA-075005_0053_FC:3:1:16575:1316#0,21678572,+,0,unique,21678572,+,0,yes
ILLUMINA-075005_0053_FC:3:1:1743:1323#0,4480468,+,0,unique,4480468,+,0,yes
ILLUMINA-075005_0053_FC:3:1:2326:1327#0,21679824,+,0,unique,21679824,+,0,yes
ILLUMINA-075005_0053_FC:3:1:2587:1324#0,13922233,+,0,unique,13922233,+,0,yes
ILLUMINA-075005_0053_FC:3:1:4608:1327#0,13945287,+,0,unique,13945287,+,0,yes
ILLUMINA-075005_0053_FC:3:1:9102:1323#0,8363954,+,0,unique,8363954,+,0,yes
ILLUMINA-075005_0053_FC:3:1:9567:1325#0,11003087,+,0,unique,11003087,+,0,yes
ILLUMINA-075005_0053_FC:3:1:10608:1320#0,13922101,+,0,unique,13922101,+,0,yes
ILLUMINA-075005_0053_FC:3:1:12881:1321#0,13922215,+,2,unique,13922215,+,2,yes
ILLUMINA-075005_0053_FC:3:1:14083:1320#0,13945665,+,0,unique,13945665,+,0,yes
ILLUMINA-075005_0053_FC:3:1:15304:1329#0,13945823,+,1,unique,13945823,+,1,yes
ILLUMINA-075005_0053_FC:3:1:16693:1326#0,4479849,+,1,unique,4479849,+,1,yes
ILLUMINA-075005_0053_FC:3:1:17194:1326#0,6977913,+,1,unique,6977913,+,1,yes
ILLUMINA-075005_0053_FC:3:1:17633:1327#0,21171976,-,0,unique,21171976,-,0,yes
ILLUMINA-075005_0053_FC:3:1:18492:1319#0,22536139,+,0,unique,22536139,+,0,yes
ILLUMINA-075005_0053_FC:3:1:1914:1338#0,8430686,-,0,unique,8430686,-,0,yes
ILLUMINA-075005_0053_FC:3:1:2087:1335#0,8161884,+,0,unique,8161884,+,0,yes
ILLUMINA-075005_0053_FC:3:1:4880:1336#0,562228,+,0,unique,562228,+,0,yes
ILLUMINA-075005_0053_FC:3:1:6693:1336#0,10409913,-,0,unique,10409913,-,0,yes
ILLUMINA-075005_0053_FC:3:1:7429:1338#0,8042461,+,0,unique,8042461,+,0,yes
ILLUMINA-075005_0053_FC:3:1:8655:1332#0,13370354,+,0,unique,13370354,+,0,yes
ILLUMINA-075005_0053_FC:3:1:8917:1334#0,6046782,+,0,unique,6046782,+,0,yes
ILLUMINA-075005_0053_FC:3:1:11511:1341#0,561419,+,0,unique,561419,+,0,yes
ILLUMINA-075005_0053_FC:3:1:12374:1339#0,16785366,-,1,unique,16785366,-,1,yes
ILLUMINA-075005_0053_FC:3:1:13123:1341#0,5531241,+,1,unique,5531241,+,1,yes
ILLUMINA-075005_0053_FC:3:1:14907:1336#0,6061697,+,0,unique,6061697,+,0,yes
ILLUMINA-075005_0053_FC:3:1:15395:1339#0,13922137,+,1,unique,13922137,+,1,yes
ILLUMINA-075005_0053_FC:3:1:16396:1336#0,4228416,-,1,unique,4228416,-,1,yes
ILLUMINA-075005_0053_FC:3:1:18349:1338#0,13921681,+,0,unique,13921681,+,0,yes
ILLUMINA-075005_0053_FC:3:1:2751:1343#0,10847358,+,0,unique,10847358,+,0,yes
