read_id,star_rname,star_pos,my_status,my_rname,my_pos,match
ILLUMINA-075005_0053_FC:3:1:13269:1068#0,3L,3718765,unique,3L,3718765,yes
ILLUMINA-075005_0053_FC:3:1:14146:1064#0,3R,22016880,unique,3R,22016880,yes
ILLUMINA-075005_0053_FC:3:1:15199:1059#0,2L,13922109,unique,2L,13922109,yes
ILLUMINA-075005_0053_FC:3:1:16382:1061#0,X,2026018,unique,X,2026018,yes
ILLUMINA-075005_0053_FC:3:1:16841:1060#0,3L,16611508,unique,3L,16611508,yes
ILLUMINA-075005_0053_FC:3:1:16883:1069#0,3L,16307854,unique,3L,16307854,yes
ILLUMINA-075005_0053_FC:3:1:16958:1061#0,X,17143686,unique,X,17143686,yes
ILLUMINA-075005_0053_FC:3:1:17219:1070#0,2R,21071591,unique,2R,21071591,yes
ILLUMINA-075005_0053_FC:3:1:17273:1059#0,3L,1667614,unique,3L,1667614,yes
ILLUMINA-075005_0053_FC:3:1:17829:1059#0,2L,6478340,unique,2L,6478340,yes
ILLUMINA-075005_0053_FC:3:1:17924:1065#0,X,1479129,unique,X,1479129,yes
ILLUMINA-075005_0053_FC:3:1:17955:1064#0,3R,14327392,unique,3R,14327392,yes
ILLUMINA-075005_0053_FC:3:1:18313:1060#0,X,7893370,unique,X,7893370,yes
ILLUMINA-075005_0053_FC:3:1:18623:1066#0,3R,26257485,unique,3R,26257485,yes
ILLUMINA-075005_0053_FC:3:1:18955:1067#0,2R,11146516,unique,2R,11146516,yes
ILLUMINA-075005_0053_FC:3:1:19343:1060#0,3R,9778926,unique,3R,9778926,yes
ILLUMINA-075005_0053_FC:3:1:19458:1069#0,2R,16570226,unique,2R,16570226,yes
ILLUMINA-075005_0053_FC:3:1:19572:1066#0,2R,8129666,unique,2R,8129666,yes
ILLUMINA-075005_0053_FC:3:1:19606:1061#0,X,21318387,unique,X,21318387,yes
ILLUMINA-075005_0053_FC:3:1:1340:1071#0,X,16286877,unique,X,16286877,yes
ILLUMINA-075005_0053_FC:3:1:2272:1072#0,3L,21986971,unique,3L,21986971,yes
ILLUMINA-075005_0053_FC:3:1:2505:1076#0,3L,13024682,unique,3L,13024682,yes
ILLUMINA-075005_0053_FC:3:1:2894:1076#0,X,10461103,unique,X,10461103,yes
ILLUMINA-075005_0053_FC:3:1:3124:1073#0,2R,22717569,unique,2R,22717569,yes
ILLUMINA-075005_0053_FC:3:1:3679:1079#0,X,6258300,unique,X,6258300,yes
ILLUMINA-075005_0053_FC:3:1:4021:1080#0,2L,13921637,unique,2L,13921637,yes
ILLUMINA-075005_0053_FC:3:1:5009:1080#0,3L,9049267,unique,3L,9049267,yes
ILLUMINA-075005_0053_FC:3:1:5050:1082#0,2R,7791956,unique,2R,7791956,yes
ILLUMINA-075005_0053_FC:3:1:5106:1078#0,2L,9700181,unique,2L,9700181,yes
ILLUMINA-075005_0053_FC:3:1:5205:1071#0,2R,13872837,unique,2R,13872837,yes
ILLUMINA-075005_0053_FC:3:1:5567:1078#0,2L,13933381,unique,2L,13933381,yes
ILLUMINA-075005_0053_FC:3:1:5636:1080#0,2R,16570202,unique,2R,16570202,yes
ILLUMINA-075005_0053_FC:3:1:6330:1071#0,X,266210,unique,X,266210,yes
ILLUMINA-075005_0053_FC:3:1:6432:1079#0,X,2172842,unique,X,2172842,yes
ILLUMINA-075005_0053_FC:3:1:6487:1081#0,2R,20565390,unique,2R,20565390,yes
ILLUMINA-075005_0053_FC:3:1:6505:1072#0,X,6532102,unique,X,6532102,yes
ILLUMINA-075005_0053_FC:3:1:7344:1075#0,2R,18820719,unique,2R,18820719,yes
ILLUMINA-075005_0053_FC:3:1:7500:1079#0,3R,11955353,multi,,,no
ILLUMINA-075005_0053_FC:3:1:7528:1082#0,2L,10241659,unique,2L,10241659,yes
ILLUMINA-075005_0053_FC:3:1:7631:1076#0,3L,8602273,unique,3L,8602273,yes
ILLUMINA-075005_0053_FC:3:1:8505:1073#0,2R,21070559,unique,2R,21070559,yes
ILLUMINA-075005_0053_FC:3:1:8967:1079#0,3R,18687633,unique,3R,18687633,yes
ILLUMINA-075005_0053_FC:3:1:9018:1071#0,2R,24009674,unique,2R,24009674,yes
ILLUMINA-075005_0053_FC:3:1:9891:1072#0,2R,22640818,unique,2R,22640818,yes
ILLUMINA-075005_0053_FC:3:1:9949:1074#0,2L,14741411,multi,,,no
ILLUMINA-075005_0053_FC:3:1:10048:1078#0,2R,10470086,unique,2R,10470086,yes
ILLUMINA-075005_0053_FC:3:1:10142:1075#0,3R,19027816,unique,3R,19027816,yes
ILLUMINA-075005_0053_FC:3:1:10190:1077#0,X,16286923,unique,X,16286923,yes
ILLUMINA-075005_0053_FC:3:1:10560:1079#0,2L,6934091,unique,2L,6934091,yes
ILLUMINA-075005_0053_FC:3:1:10593:1078#0,3R,27658629,unique,3R,27658629,yes
ILLUMINA-075005_0053_FC:3:1:10859:1080#0,2R,9587616,unique,2R,9587616,yes
ILLUMINA-075005_0053_FC:3:1:10881:1079#0,3L,8326927,unique,3L,8326927,yes
ILLUMINA-075005_0053_FC:3:1:11201:1080#0,2L,561031,unique,2L,561031,yes
ILLUMINA-075005_0053_FC:3:1:11491:1080#0,211000022278882,900,multi,,,no
ILLUMINA-075005_0053_FC:3:1:11782:1074#0,3R,15178392,unique,3R,15178392,yes
ILLUMINA-075005_0053_FC:3:1:12221:1076#0,2L,16777347,unique,2L,16777347,yes
ILLUMINA-075005_0053_FC:3:1:12315:1080#0,2L,13922244,unique,2L,13922244,yes
ILLUMINA-075005_0053_FC:3:1:12404:1075#0,X,628407,unique,X,628407,yes
ILLUMINA-075005_0053_FC:3:1:13599:1075#0,3R,29896804,unique,3R,29896804,yes
ILLUMINA-075005_0053_FC:3:1:13702:1076#0,3L,16126101,unique,3L,16126101,yes
ILLUMINA-075005_0053_FC:3:1:13990:1075#0,3R,11955772,multi,,,no
ILLUMINA-075005_0053_FC:3:1:14163:1075#0,2L,2746910,unique,2L,2746910,yes
ILLUMINA-075005_0053_FC:3:1:14506:1073#0,2L,8126215,unique,2L,8126215,yes
ILLUMINA-075005_0053_FC:3:1:14529:1078#0,3R,11223918,unique,3R,11223918,yes
ILLUMINA-075005_0053_FC:3:1:14875:1076#0,3L,11823915,unique,3L,11823915,yes
ILLUMINA-075005_0053_FC:3:1:14978:1079#0,2R,23548677,unique,2R,23548677,yes
ILLUMINA-075005_0053_FC:3:1:15040:1082#0,X,21318848,unique,X,21318848,yes
ILLUMINA-075005_0053_FC:3:1:15115:1073#0,2R,17408259,unique,2R,17408259,yes
ILLUMINA-075005_0053_FC:3:1:15168:1078#0,3R,9400772,unique,3R,9400772,yes
ILLUMINA-075005_0053_FC:3:1:15924:1076#0,3R,20965961,unique,3R,20965961,yes
ILLUMINA-075005_0053_FC:3:1:16397:1075#0,2R,13237712,unique,2R,13237712,yes
ILLUMINA-075005_0053_FC:3:1:16425:1082#0,3R,14394396,unique,3R,14394396,yes
ILLUMINA-075005_0053_FC:3:1:16455:1072#0,2R,18820333,unique,2R,18820333,yes
ILLUMINA-075005_0053_FC:3:1:16527:1076#0,3L,19536581,unique,3L,19536581,yes
ILLUMINA-075005_0053_FC:3:1:16670:1074#0,3L,6331357,unique,3L,6331357,yes
ILLUMINA-075005_0053_FC:3:1:16713:1074#0,3R,27079316,unique,3R,27079316,yes
ILLUMINA-075005_0053_FC:3:1:17716:1074#0,3R,26257057,unique,3R,26257057,yes
ILLUMINA-075005_0053_FC:3:1:18094:1076#0,2R,6627193,unique,2R,6627193,yes
ILLUMINA-075005_0053_FC:3:1:18500:1073#0,2R,12611040,unique,2R,12611040,yes
ILLUMINA-075005_0053_FC:3:1:18600:1074#0,3L,9636277,unique,3L,9636277,yes
ILLUMINA-075005_0053_FC:3:1:19297:1079#0,3R,27955996,unique,3R,27955996,yes
ILLUMINA-075005_0053_FC:3:1:1349:1093#0,X,18105720,unique,X,18105720,yes
ILLUMINA-075005_0053_FC:3:1:1808:1091#0,2L,13945109,unique,2L,13945109,yes
ILLUMINA-075005_0053_FC:3:1:2229:1084#0,2R,17430007,unique,2R,17430007,yes
ILLUMINA-075005_0053_FC:3:1:2259:1092#0,X,23432437,multi,,,no
ILLUMINA-075005_0053_FC:3:1:2311:1090#0,3R,30206555,unique,3R,30206555,yes
ILLUMINA-075005_0053_FC:3:1:2420:1084#0,2L,1606875,unique,2L,1606875,yes
ILLUMINA-075005_0053_FC:3:1:2461:1087#0,3R,12003327,unique,3R,12003327,yes
ILLUMINA-075005_0053_FC:3:1:2612:1088#0,2R,24312939,unique,2R,24312939,yes
ILLUMINA-075005_0053_FC:3:1:3345:1087#0,2R,18555726,unique,2R,18555726,yes
ILLUMINA-075005_0053_FC:3:1:3505:1090#0,3R,29934584,unique,3R,29934584,yes
ILLUMINA-075005_0053_FC:3:1:3764:1087#0,X,13213497,unique,X,13213497,yes
ILLUMINA-075005_0053_FC:3:1:4124:1087#0,2R,18153569,unique,2R,18153569,yes
ILLUMINA-075005_0053_FC:3:1:4433:1091#0,2L,22247148,unique,2L,22247148,yes
ILLUMINA-075005_0053_FC:3:1:4893:1087#0,2L,11003680,unique,2L,11003680,yes
ILLUMINA-075005_0053_FC:3:1:5150:1090#0,3L,2941505,unique,3L,2941505,yes
ILLUMINA-075005_0053_FC:3:1:6584:1088#0,3R,29747723,unique,3R,29747723,yes
ILLUMINA-075005_0053_FC:3:1:7386:1084#0,2R,17093970,unique,2R,17093970,yes
ILLUMINA-075005_0053_FC:3:1:7561:1094#0,2L,10847434,unique,2L,10847434,yes
ILLUMINA-075005_0053_FC:3:1:8545:1084#0,2R,17408259,unique,2R,17408259,yes
ILLUMINA-075005_0053_FC:3:1:8707:1084#0,3L,16277735,unique,3L,16277735,yes
ILLUMINA-075005_0053_FC:3:1:8837:1088#0,3L,11823281,unique,3L,11823281,yes
ILLUMINA-075005_0053_FC:3:1:9607:1090#0,3L,9050049,unique,3L,9050049,yes
ILLUMINA-075005_0053_FC:3:1:10464:1088#0,2L,21678272,unique,2L,21678272,yes
ILLUMINA-075005_0053_FC:3:1:10651:1094#0,3R,30045346,unique,3R,30045346,yes
ILLUMINA-075005_0053_FC:3:1:10977:1093#0,2L,12106018,unique,2L,12106018,yes
ILLUMINA-075005_0053_FC:3:1:10996:1084#0,2R,7148172,unique,2R,7148172,yes
ILLUMINA-075005_0053_FC:3:1:11162:1085#0,3L,5775232,unique,3L,5775232,yes
ILLUMINA-075005_0053_FC:3:1:11316:1091#0,3L,3816818,unique,3L,3816818,yes
ILLUMINA-075005_0053_FC:3:1:11356:1088#0,3R,24829432,unique,3R,24829432,yes
ILLUMINA-075005_0053_FC:3:1:11723:1083#0,X,143087,unique,X,143087,yes
ILLUMINA-075005_0053_FC:3:1:11743:1083#0,2L,13945532,unique,2L,13945532,yes
ILLUMINA-075005_0053_FC:3:1:11849:1088#0,X,18859496,unique,X,18859496,yes
ILLUMINA-075005_0053_FC:3:1:11870:1083#0,2R,22854718,unique,2R,22854718,yes
ILLUMINA-075005_0053_FC:3:1:11897:1094#0,3R,14814544,unique,3R,14814544,yes
ILLUMINA-075005_0053_FC:3:1:12157:1084#0,2R,16793121,unique,2R,16793121,yes
ILLUMINA-075005_0053_FC:3:1:12622:1088#0,3R,30208264,unique,3R,30208264,yes
ILLUMINA-075005_0053_FC:3:1:12657:1085#0,3R,11215414,unique,3R,11215414,yes
ILLUMINA-075005_0053_FC:3:1:13123:1091#0,2L,13945862,unique,2L,13945862,yes
ILLUMINA-075005_0053_FC:3:1:13208:1083#0,X,15139020,unique,X,15139020,yes
ILLUMINA-075005_0053_FC:3:1:13743:1093#0,2L,3378387,unique,2L,3378387,yes
ILLUMINA-075005_0053_FC:3:1:14111:1093#0,2R,17409775,unique,2R,17409775,yes
ILLUMINA-075005_0053_FC:3:1:14759:1087#0,2L,4228316,unique,2L,4228316,yes
ILLUMINA-075005_0053_FC:3:1:15564:1083#0,2R,22802045,unique,2R,22802045,yes
ILLUMINA-075005_0053_FC:3:1:16047:1093#0,3R,15441902,unique,3R,15441902,yes
ILLUMINA-075005_0053_FC:3:1:16125:1086#0,2R,17408273,unique,2R,17408273,yes
ILLUMINA-075005_0053_FC:3:1:16272:1088#0,X,6348773,unique,X,6348773,yes
ILLUMINA-075005_0053_FC:3:1:16741:1085#0,3R,27083532,unique,3R,27083532,yes
ILLUMINA-075005_0053_FC:3:1:16866:1085#0,2R,17867393,unique,2R,17867393,yes
ILLUMINA-075005_0053_FC:3:1:17263:1083#0,3L,13418213,unique,3L,13418213,yes
ILLUMINA-075005_0053_FC:3:1:17492:1083#0,3R,18228509,unique,3R,18228509,yes
ILLUMINA-075005_0053_FC:3:1:18375:1084#0,3R,6386701,unique,3R,6386701,yes
ILLUMINA-075005_0053_FC:3:1:18691:1091#0,3L,9049795,multi,,,no
ILLUMINA-075005_0053_FC:3:1:18794:1091#0,2L,19959323,unique,2L,19959323,yes
ILLUMINA-075005_0053_FC:3:1:18876:1082#0,3L,20496391,unique,3L,20496391,yes
ILLUMINA-075005_0053_FC:3:1:19126:1092#0,3R,15441705,multi,,,no
ILLUMINA-075005_0053_FC:3:1:19649:1085#0,2R,22801726,unique,2R,22801726,yes
ILLUMINA-075005_0053_FC:3:1:19725:1091#0,3L,16277879,unique,3L,16277879,yes
ILLUMINA-075005_0053_FC:3:1:2037:1100#0,X,18878791,unique,X,18878791,yes
ILLUMINA-075005_0053_FC:3:1:3621:1099#0,3L,9834244,unique,3L,9834244,yes
ILLUMINA-075005_0053_FC:3:1:3887:1103#0,2L,16777320,unique,2L,16777320,yes
ILLUMINA-075005_0053_FC:3:1:4256:1098#0,2R,16782280,unique,2R,16782280,yes
ILLUMINA-075005_0053_FC:3:1:4305:1102#0,X,1373595,unique,X,1373595,yes
ILLUMINA-075005_0053_FC:3:1:4466:1095#0,3R,21624047,unique,3R,21624047,yes
ILLUMINA-075005_0053_FC:3:1:4494:1105#0,3R,8675076,unique,3R,8675076,yes
ILLUMINA-075005_0053_FC:3:1:4665:1096#0,X,8248717,unique,X,8248717,yes
ILLUMINA-075005_0053_FC:3:1:4846:1105#0,X,16615066,unique,X,16615066,yes
ILLUMINA-075005_0053_FC:3:1:5008:1098#0,2L,13922349,unique,2L,13922349,yes
ILLUMINA-075005_0053_FC:3:1:5085:1104#0,2L,9953782,unique,2L,9953782,yes
ILLUMINA-075005_0053_FC:3:1:5235:1097#0,3R,30011805,unique,3R,30011805,yes
ILLUMINA-075005_0053_FC:3:1:5301:1099#0,3R,29220481,unique,3R,29220481,yes
ILLUMINA-075005_0053_FC:3:1:5406:1105#0,2L,6666618,unique,2L,6666618,yes
ILLUMINA-075005_0053_FC:3:1:5613:1096#0,2R,20264591,unique,2R,20264591,yes
ILLUMINA-075005_0053_FC:3:1:5822:1095#0,3L,13043792,unique,3L,13043792,yes
ILLUMINA-075005_0053_FC:3:1:6113:1098#0,3L,8327188,unique,3L,8327188,yes
ILLUMINA-075005_0053_FC:3:1:6160:1097#0,4,656685,unique,4,656685,yes
ILLUMINA-075005_0053_FC:3:1:6224:1102#0,3L,20423656,unique,3L,20423656,yes
ILLUMINA-075005_0053_FC:3:1:6602:1104#0,3L,19883393,unique,3L,19883393,yes
ILLUMINA-075005_0053_FC:3:1:6869:1102#0,2R,17546461,unique,2R,17546461,yes
ILLUMINA-075005_0053_FC:3:1:6985:1098#0,2R,22854703,unique,2R,22854703,yes
ILLUMINA-075005_0053_FC:3:1:7207:1104#0,4,66293,unique,4,66293,yes
ILLUMINA-075005_0053_FC:3:1:7429:1100#0,3R,5466164,unique,3R,5466164,yes
ILLUMINA-075005_0053_FC:3:1:7948:1104#0,3L,9376522,unique,3L,9376522,yes
ILLUMINA-075005_0053_FC:3:1:8293:1098#0,3R,8346179,unique,3R,8346179,yes
ILLUMINA-075005_0053_FC:3:1:9285:1097#0,3L,5601993,unique,3L,5601993,yes
ILLUMINA-075005_0053_FC:3:1:9826:1097#0,3L,23093669,unique,3L,23093669,yes
ILLUMINA-075005_0053_FC:3:1:9924:1104#0,X,10781063,unique,X,10781063,yes
ILLUMINA-075005_0053_FC:3:1:10841:1101#0,3R,17041166,unique,3R,17041166,yes
ILLUMINA-075005_0053_FC:3:1:11555:1095#0,2L,7826868,unique,2L,7826868,yes
ILLUMINA-075005_0053_FC:3:1:11864:1103#0,2L,16788654,unique,2L,16788654,yes
ILLUMINA-075005_0053_FC:3:1:12018:1095#0,2R,17546840,unique,2R,17546840,yes
ILLUMINA-075005_0053_FC:3:1:12212:1097#0,3L,9050284,unique,3L,9050284,yes
ILLUMINA-075005_0053_FC:3:1:12362:1095#0,2R,18146225,unique,2R,18146225,yes
ILLUMINA-075005_0053_FC:3:1:12675:1100#0,3R,30003707,unique,3R,30003707,yes
ILLUMINA-075005_0053_FC:3:1:12707:1102#0,3L,9973202,unique,3L,9973202,yes
ILLUMINA-075005_0053_FC:3:1:13245:1104#0,3L,19990506,unique,3L,19990506,yes
ILLUMINA-075005_0053_FC:3:1:13298:1097#0,X,11707222,unique,X,11707222,yes
ILLUMINA-075005_0053_FC:3:1:14150:1106#0,3L,22076997,unique,3L,22076997,yes
ILLUMINA-075005_0053_FC:3:1:15208:1101#0,3R,30045347,unique,3R,30045347,yes
ILLUMINA-075005_0053_FC:3:1:15425:1098#0,X,3339439,unique,X,3339439,yes
ILLUMINA-075005_0053_FC:3:1:15490:1097#0,3L,12220312,unique,3L,12220312,yes
ILLUMINA-075005_0053_FC:3:1:15619:1101#0,X,6531990,unique,X,6531990,yes
ILLUMINA-075005_0053_FC:3:1:16202:1099#0,2R,22640602,unique,2R,22640602,yes
ILLUMINA-075005_0053_FC:3:1:16293:1101#0,3L,9049606,unique,3L,9049606,yes
ILLUMINA-075005_0053_FC:3:1:16333:1094#0,2R,17409510,unique,2R,17409510,yes
ILLUMINA-075005_0053_FC:3:1:16481:1103#0,X,13596562,unique,X,13596562,yes
ILLUMINA-075005_0053_FC:3:1:16819:1095#0,3L,9428904,unique,3L,9428904,yes
ILLUMINA-075005_0053_FC:3:1:17073:1096#0,2R,19447327,unique,2R,19447327,yes
ILLUMINA-075005_0053_FC:3:1:17292:1105#0,3R,15331058,unique,3R,15331058,yes
ILLUMINA-075005_0053_FC:3:1:17404:1099#0,X,18098649,unique,X,18098649,yes
ILLUMINA-075005_0053_FC:3:1:17508:1098#0,X,19493191,unique,X,19493191,yes
ILLUMINA-075005_0053_FC:3:1:17644:1105#0,3L,8327000,unique,3L,8327000,yes
ILLUMINA-075005_0053_FC:3:1:17882:1101#0,3R,29747783,unique,3R,29747783,yes
ILLUMINA-075005_0053_FC:3:1:18088:1101#0,2L,18442741,unique,2L,18442741,yes
ILLUMINA-075005_0053_FC:3:1:18603:1097#0,2L,8042028,unique,2L,8042028,yes
ILLUMINA-075005_0053_FC:3:1:18628:1100#0,2R,17408737,unique,2R,17408737,yes
ILLUMINA-075005_0053_FC:3:1:19256:1104#0,3R,23355440,unique,3R,23355440,yes
ILLUMINA-075005_0053_FC:3:1:19340:1095#0,X,2026691,unique,X,2026691,yes
ILLUMINA-075005_0053_FC:3:1:1126:1117#0,2L,2579319,unique,2L,2579319,yes
ILLUMINA-075005_0053_FC:3:1:1782:1114#0,X,1369904,unique,X,1369904,yes
ILLUMINA-075005_0053_FC:3:1:2557:1116#0,3R,7088653,unique,3R,7088653,yes
ILLUMINA-075005_0053_FC:3:1:2763:1116#0,2L,1726243,unique,2L,1726243,yes
ILLUMINA-075005_0053_FC:3:1:2837:1115#0,3L,8640653,unique,3L,8640653,yes
ILLUMINA-075005_0053_FC:3:1:2857:1116#0,3L,20351585,unique,3L,20351585,yes
ILLUMINA-075005_0053_FC:3:1:2955:1108#0,3R,29862827,unique,3R,29862827,yes
ILLUMINA-075005_0053_FC:3:1:3184:1116#0,2R,8913718,unique,2R,8913718,yes
ILLUMINA-075005_0053_FC:3:1:3277:1115#0,3R,4777973,unique,3R,4777973,yes
ILLUMINA-075005_0053_FC:3:1:3963:1107#0,X,1890984,unique,X,1890984,yes
ILLUMINA-075005_0053_FC:3:1:3981:1113#0,2R,19442935,unique,2R,19442935,yes
ILLUMINA-075005_0053_FC:3:1:4159:1106#0,3R,29105134,unique,3R,29105134,yes
ILLUMINA-075005_0053_FC:3:1:4241:1111#0,3L,17025506,unique,3L,17025506,yes
ILLUMINA-075005_0053_FC:3:1:4626:1113#0,3R,8713984,unique,3R,8713984,yes
ILLUMINA-075005_0053_FC:3:1:4650:1114#0,3L,16791000,unique,3L,16791000,yes
ILLUMINA-075005_0053_FC:3:1:4757:1118#0,2R,11284622,unique,2R,11284622,yes
ILLUMINA-075005_0053_FC:3:1:4879:1113#0,3L,8326985,unique,3L,8326985,yes
ILLUMINA-075005_0053_FC:3:1:4961:1108#0,3R,11224760,unique,3R,11224760,yes
ILLUMINA-075005_0053_FC:3:1:5501:1109#0,2L,9543387,unique,2L,9543387,yes
ILLUMINA-075005_0053_FC:3:1:5630:1110#0,2R,20264591,unique,2R,20264591,yes
ILLUMINA-075005_0053_FC:3:1:6186:1110#0,X,4142825,unique,X,4142825,yes
ILLUMINA-075005_0053_FC:3:1:6204:1110#0,3L,8326184,unique,3L,8326184,yes
ILLUMINA-075005_0053_FC:3:1:6396:1117#0,3R,22372531,unique,3R,22372531,yes
ILLUMINA-075005_0053_FC:3:1:6832:1107#0,3R,15312852,unique,3R,15312852,yes
ILLUMINA-075005_0053_FC:3:1:6892:1114#0,3R,21266946,unique,3R,21266946,yes
ILLUMINA-075005_0053_FC:3:1:7001:1109#0,3L,19535716,unique,3L,19535716,yes
ILLUMINA-075005_0053_FC:3:1:7083:1110#0,2R,10708733,unique,2R,10708733,yes
ILLUMINA-075005_0053_FC:3:1:7791:1115#0,2L,560906,unique,2L,560906,yes
ILLUMINA-075005_0053_FC:3:1:8133:1106#0,2L,16788654,unique,2L,16788654,yes
ILLUMINA-075005_0053_FC:3:1:8335:1107#0,2L,9968388,unique,2L,9968388,yes
ILLUMINA-075005_0053_FC:3:1:8385:1113#0,3R,19095730,unique,3R,19095730,yes
ILLUMINA-075005_0053_FC:3:1:8876:1112#0,3L,16103216,unique,3L,16103216,yes
ILLUMINA-075005_0053_FC:3:1:9001:1107#0,2R,6627152,unique,2R,6627152,yes
ILLUMINA-075005_0053_FC:3:1:9075:1106#0,3R,12401169,unique,3R,12401169,yes
ILLUMINA-075005_0053_FC:3:1:9297:1115#0,3R,29863499,unique,3R,29863499,yes
ILLUMINA-075005_0053_FC:3:1:9854:1107#0,3R,16436194,unique,3R,16436194,yes
ILLUMINA-075005_0053_FC:3:1:10152:1117#0,2R,17572340,unique,2R,17572340,yes
ILLUMINA-075005_0053_FC:3:1:10227:1117#0,3L,21987028,unique,3L,21987028,yes
ILLUMINA-075005_0053_FC:3:1:10273:1118#0,2L,10201328,unique,2L,10201328,yes
ILLUMINA-075005_0053_FC:3:1:10344:1106#0,3L,650775,unique,3L,650775,yes
ILLUMINA-075005_0053_FC:3:1:10384:1110#0,2R,22640910,unique,2R,22640910,yes
ILLUMINA-075005_0053_FC:3:1:10444:1107#0,2R,16586553,unique,2R,16586553,yes
ILLUMINA-075005_0053_FC:3:1:10736:1112#0,X,20241718,unique,X,20241718,yes
